Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
11000,1/19/2008,debt_consolidation,,100%,950xx,CA,10+ years,0
2500,1/19/2008,other,,100%,891xx,NV,10+ years,0
3000,1/19/2008,bowlerboy,619,4.39%,200xx,DC,8 years,0
3000,1/19/2008,brewsterabc,613,11.53%,464xx,IN,10+ years,0
500,1/19/2008,lwbradford69,541,2.36%,750xx,TX,2 years,0
5000,1/19/2008,dlpuchala,599,34.33%,551xx,MN,10+ years,0
2000,1/19/2008,Matt24,650,36.64%,174xx,PA,3 years,0
3000,1/19/2008,Eddy-Boat Concept,405,23.18%,406xx,KY,10+ years,0
2000,1/19/2008,smerk2121,536,0%,445xx,OH,< 1 year,0
15000,1/19/2008,vivmarty,601,12.07%,109xx,NY,5 years,0
2000,1/19/2008,grandma4,524,21.84%,275xx,NC,1 year,0
20000,1/19/2008,viking-fan,680,44.26%,506xx,IA,10+ years,0
20000,1/19/2008,mattabee1,660,14.22%,891xx,NV,< 1 year,0
3000,1/19/2008,AKGorrin,461,8.28%,995xx,AK,< 1 year,0
4000,1/19/2008,Workshop in Peru,681,0%,471xx,IN,1 year,0
10000,1/19/2008,ernurse,482,10.85%,351xx,AL,5 years,0
6000,1/19/2008,SYBRANTIV,594,9.60%,493xx,MI,< 1 year,0
14100,1/19/2008,thgirbloow,745,33.73%,354xx,AL,1 year,0
2000,1/19/2008,reberhard,656,35.40%,060xx,CT,< 1 year,0
25000,1/19/2008,SHANNON79,472,18.03%,627xx,IL,5 years,0
20000,1/19/2008,debt_consolidation,710,47.50%,208xx,MD,< 1 year,0
16000,1/19/2008,williammary,636,13.05%,207xx,MD,2 years,0
5000,1/19/2008,seriousbiz,524,0%,989xx,WA,9 years,0
13700,1/20/2008,miko181,670,24.84%,238xx,VA,< 1 year,0
2000,1/20/2008,annamar,481,0%,352xx,AL,< 1 year,0
20000,1/20/2008,ewanfive,471,18.82%,342xx,FL,2 years,0
1500,1/20/2008,treztyme,497,11.11%,310xx,GA,7 years,0
15000,1/20/2008,jsreedy,696,31.04%,774xx,TX,10+ years,0
10000,1/20/2008,juiceman74,625,41.83%,217xx,MD,10+ years,0
9000,1/20/2008,jas01609,539,1.28%,015xx,MA,9 years,0
8850,1/20/2008,MWilga.Designs,664,25.14%,327xx,FL,8 years,0
20000,1/20/2008,home_improvement,730,22.31%,894xx,NV,3 years,0
14000,1/20/2008,snuggler,563,12.89%,191xx,PA,1 year,0
15000,1/20/2008,richso,692,36.53%,606xx,IL,10+ years,0
500,1/20/2008,hallandale,497,0.71%,330xx,FL,10+ years,0
25000,1/20/2008,seattle rose,687,29.73%,283xx,NC,9 years,0
22000,1/20/2008,scott0007,448,13.13%,327xx,FL,10+ years,0
2100,1/20/2008,LegalDivision,631,0.74%,100xx,NY,9 years,0
1500,1/20/2008,TeamHope,654,2.74%,782xx,TX,4 years,0
7000,1/20/2008,kitehill,469,3.65%,049xx,ME,< 1 year,0
2500,1/20/2008,VickySD,573,19.65%,524xx,IA,10+ years,0
18000,1/20/2008,canella,633,22.90%,945xx,CA,5 years,0
25000,1/20/2008,purpleanita,719,64.77%,805xx,CO,10+ years,0
20000,1/20/2008,debt_consolidation,650,33.57%,152xx,PA,10+ years,0
8000,1/20/2008,geoffpkiely,0,0%,078xx,NJ,1 year,0
13000,1/20/2008,uandme,691,49.96%,974xx,OR,7 years,0
15000,1/20/2008,Daughter's Wedding,766,8.61%,212xx,MD,9 years,0
25000,1/20/2008,jml1754,409,0.64%,711xx,LA,9 years,0
10000,1/20/2008,discover,733,24.15%,760xx,TX,< 1 year,0
16225,1/20/2008,loan payoffs,661,22.02%,925xx,CA,10+ years,0
15000,1/20/2008,squeek,654,33.47%,480xx,MI,1 year,0
8000,1/20/2008,lilbitbig,584,3.56%,114xx,NY,3 years,0
500,1/20/2008,poohbear69,0,0%,672xx,KS,< 1 year,0
3000,1/20/2008,"I would like to simply pay off and chop up all of my credit cards.  My credit needs to improve and I feel that having all of these credit cards (6) is not the way to do it.  My payments are on time and usually twice the minimum required payment (or more) but I still feel behind.  I do plan on keeping only one card for the sake of my credit needing some activity but it will be used very rarely.  Five of the cards are store cards that I really don't want to shop at.  I am trying to purchase a home in the near future so I think that this consolidation could really give me a boost; as well as peace of mind.  My boyfriend and I have a three-step plan in mind: step one is to purchase a home, (which is proving to be much more difficult than anticipated) step two will be marriage, and step three will be making some brothers and/or sisters for our already 6-year-old daughter.  I have confidence that this consolidation could really get us on the right track, finally, to our three-step plan.  ",628,81.46%,028xx,RI,< 1 year,0
25000,1/20/2008,GGriffs,589,34.32%,386xx,MS,6 years,0
25000,1/20/2008,alis papa05,717,22.80%,806xx,CO,< 1 year,0
25000,1/20/2008,neospy,471,3.95%,161xx,PA,< 1 year,0
14300,1/20/2008,For the Future!,728,9.53%,941xx,CA,5 years,0
15000,1/20/2008,debt_consolidation,663,65.06%,128xx,NY,10+ years,0
20000,1/20/2008,jakejackson,681,34.45%,937xx,CA,2 years,0
25000,1/20/2008,christine1954,472,0%,393xx,MS,2 years,0
2500,1/20/2008,Lorri,491,16.06%,465xx,IN,3 years,0
15000,1/20/2008,plumber,669,37.18%,244xx,VA,10+ years,0
12500,1/20/2008,johnn,531,7.17%,480xx,MI,2 years,0
2500,1/20/2008,sc82otty,457,34.48%,796xx,TX,2 years,0
12500,1/20/2008,leedale,521,21.42%,985xx,WA,< 1 year,0
10000,1/20/2008,gemini000,475,13.20%,238xx,VA,2 years,0
25000,1/20/2008,HalloweenTone,669,25.71%,805xx,CO,10+ years,0
7000,1/20/2008,Mover Dudes,640,19.35%,226xx,VA,1 year,0
10000,1/20/2008,debt_consolidation,717,56.13%,750xx,TX,< 1 year,0
25000,1/20/2008,hard work 2008,527,42.09%,925xx,CA,8 years,0
20000,1/20/2008,marion52,647,36.56%,216xx,MD,10+ years,0
6500,1/20/2008,msfortune101,653,156.92%,973xx,OR,< 1 year,0
3500,1/20/2008,home_improvement,689,32.96%,775xx,TX,10+ years,0
17000,1/20/2008,debt_consolidation,,100%,313xx,GA,1 year,0
12000,1/20/2008,pay off debts,689,9.48%,919xx,CA,8 years,0
500,1/20/2008,jackson7535,508,35.79%,708xx,LA,3 years,0
10000,1/20/2008,Personal Loan,704,18.36%,786xx,TX,4 years,0
20000,1/20/2008,home_improvement,,100%,207xx,MD,2 years,0
15000,1/20/2008,debt_consolidation,733,29.78%,801xx,CO,4 years,0
5000,1/20/2008,musicfairy7,700,10.95%,606xx,IL,2 years,0
17000,1/20/2008,consolidating debt from school,718,18.25%,088xx,NJ,2 years,0
25000,1/20/2008,homes,667,40.38%,928xx,CA,5 years,0
20000,1/20/2008,gerald,0,0%,112xx,NY,2 years,0
15000,1/20/2008,Jason Mix,717,31.38%,922xx,CA,10+ years,0
25000,1/20/2008,knight1122,700,23.22%,177xx,PA,3 years,0
10000,1/20/2008,Jacqueline7241,604,9.50%,070xx,NJ,1 year,0
7000,1/20/2008,other,718,19.88%,152xx,PA,< 1 year,0
18875,1/20/2008,CONSOLIDATE DEBT,644,15.51%,333xx,FL,9 years,0
12500,1/20/2008,TonyLanz,597,26.81%,786xx,TX,10+ years,0
20000,1/20/2008,manny063,641,4.19%,129xx,NY,9 years,0
5000,1/20/2008,snowmomtr,593,0%,925xx,CA,4 years,0
3000,1/20/2008,ROSE_08,559,16.05%,528xx,IA,10+ years,0
13000,1/20/2008,debt_consolidation,689,31.69%,189xx,PA,10+ years,0
5000,1/20/2008,ashesrocks,468,2.24%,925xx,CA,< 1 year,0
25000,1/20/2008,newchance,550,24.09%,953xx,CA,8 years,0
5000,1/20/2008,major_purchase,753,10.92%,921xx,CA,10+ years,0
24000,1/20/2008,wjd0352,567,13.63%,131xx,NY,3 years,0
25000,1/21/2008,MISSISSIPPILENDER,627,0%,395xx,MS,1 year,0
500,1/21/2008,Lavendar,466,4.66%,151xx,PA,1 year,0
10000,1/21/2008,DebbieL,529,11.76%,328xx,FL,10+ years,0
22200,1/21/2008,paulwill1,583,88.27%,446xx,OH,< 1 year,0
10000,1/21/2008,armymom,498,11.64%,129xx,NY,10+ years,0
5000,1/21/2008,poorarthur,556,6.76%,287xx,NC,10+ years,0
10000,1/21/2008,need loan to finish school,698,5.03%,334xx,FL,< 1 year,0
1200,1/21/2008,marbles54,727,21.48%,738xx,OK,< 1 year,0
3000,1/21/2008,gemmaonley,580,14.26%,302xx,GA,1 year,0
10000,1/21/2008,stacy,743,150.60%,212xx,MD,10+ years,0
10000,1/21/2008,drpsych,623,34.34%,330xx,FL,10+ years,0
10000,1/21/2008,major_purchase,694,18.48%,482xx,MI,3 years,0
10000,1/21/2008,fdavis,620,8.19%,791xx,TX,< 1 year,0
1500,1/21/2008,meroll,,11.13%,362xx,AL,5 years,0
14000,1/21/2008,other,,100%,113xx,NY,6 years,0
5700,1/21/2008,aundrea,609,42.95%,302xx,GA,< 1 year,0
1000,1/21/2008,Annaed,607,6.75%,640xx,MO,10+ years,0
15000,1/21/2008,debt_consolidation,758,15.97%,282xx,NC,10+ years,0
25000,1/21/2008,newlife21,483,25.97%,137xx,NY,10+ years,0
25000,1/21/2008,julianperez1,666,40.98%,331xx,FL,8 years,0
20000,1/21/2008,esdyson,497,22.42%,223xx,VA,2 years,0
25000,1/21/2008,Michael6179,630,33%,300xx,GA,10+ years,0
8575,1/21/2008,Payoff,694,18.92%,236xx,VA,4 years,0
10000,1/21/2008,bskuggz28,687,12.80%,151xx,PA,6 years,0
15000,1/21/2008,bigmax,698,42.24%,120xx,NY,10+ years,0
25000,1/21/2008,enforcer0341,466,12.11%,189xx,PA,1 year,0
5000,1/21/2008,thomas1015,0,0%,140xx,NY,7 years,0
4000,1/21/2008,torranceborrower,606,5.18%,334xx,FL,1 year,0
25000,1/21/2008,rawtaw,535,91.02%,326xx,FL,1 year,0
20000,1/21/2008,vls1954,600,27.60%,154xx,PA,10+ years,0
20000,1/21/2008,BTRFLY4EVR,491,8.97%,207xx,MD,9 years,0
12000,1/21/2008,other,764,23.94%,756xx,TX,6 years,0
9000,1/21/2008,n.wagner31,698,29.52%,455xx,OH,< 1 year,0
5000,1/21/2008,debt_consolidation,,100%,100xx,NY,< 1 year,0
20000,1/21/2008,Matt03901,491,27.03%,039xx,ME,< 1 year,0
20000,1/21/2008,gema84,444,16.55%,114xx,NY,2 years,0
8000,1/21/2008,efrc,608,7.29%,919xx,CA,< 1 year,0
5000,1/21/2008,twinmom88,641,30.76%,826xx,WY,< 1 year,0
8000,1/21/2008,Hoopa32,530,6.32%,954xx,CA,10+ years,0
4000,1/21/2008,liyah393633,0,0%,393xx,MS,2 years,0
5000,1/21/2008,juanita43,442,36.67%,730xx,OK,< 1 year,0
20000,1/21/2008,norm57classic,512,15.49%,441xx,OH,10+ years,0
20000,1/21/2008,other,,100%,328xx,FL,4 years,0
25000,1/21/2008,PAYING OFF DEBT,653,25.34%,463xx,IN,1 year,0
3000,1/21/2008,tgirl57,511,22.93%,981xx,WA,6 years,0
15000,1/21/2008,Chips,467,45.34%,750xx,TX,10+ years,0
8000,1/21/2008,Bills,695,24.18%,953xx,CA,2 years,0
7200,1/21/2008,Debt Consolidation Loan.,695,9.71%,662xx,KS,1 year,0
15000,1/21/2008,dfelton,533,10.27%,917xx,CA,5 years,0
5000,1/21/2008,bublint,640,23.28%,302xx,HI,9 years,0
4000,1/21/2008,dental bill and car repair,659,75.34%,843xx,UT,10+ years,0
15000,1/21/2008,FaLaLa,657,36.16%,554xx,MN,3 years,0
5000,1/21/2008,I'd like to pay off a credit card that has a high interest rate.,637,36.50%,334xx,FL,10+ years,0
12000,1/21/2008,debt_consolidation,693,26.78%,210xx,MD,6 years,0
10000,1/21/2008,Garin,727,57.07%,773xx,TX,4 years,0
20000,1/21/2008,DevinEMS,588,42.28%,606xx,IL,1 year,0
20000,1/21/2008,home_improvement,768,0%,604xx,IL,4 years,0
15000,1/21/2008,mmmscruffy,0,1.37%,338xx,FL,4 years,0
12750,1/21/2008,Medical expenses,739,26.44%,334xx,FL,10+ years,0
15000,1/21/2008,Granduer,502,25.30%,937xx,CA,10+ years,0
24000,1/21/2008,debt_consolidation,701,16.34%,503xx,IA,6 years,0
20000,1/21/2008,other,730,0.29%,787xx,TX,4 years,0
6000,1/21/2008,nabinternational,610,31.23%,984xx,WA,2 years,0
21095,1/21/2008,debt_consolidation,692,36.26%,272xx,NC,1 year,0
3000,1/21/2008,QuatreHiead,658,86.10%,302xx,GA,< 1 year,0
3000,1/21/2008,hammertime129,608,24.34%,786xx,TX,1 year,0
15000,1/21/2008,mrhoades80,635,44.86%,662xx,KS,1 year,0
3500,1/21/2008,debt_consolidation,0,0%,300xx,GA,< 1 year,0
15000,1/21/2008,lisa1834,649,36.92%,834xx,ID,3 years,0
3000,1/21/2008,vote4eric,608,3.50%,841xx,UT,2 years,0
20000,1/21/2008,joegolf,702,25.13%,350xx,AL,6 years,0
13000,1/21/2008,other,,100%,271xx,NC,10+ years,0
25000,1/21/2008,luckystrike,690,32.33%,300xx,GA,< 1 year,0
500,1/21/2008,"Loan will be used to invest in a ""Links Golf Cafe'"" Kent Station to open in early summer 08'",717,45.42%,980xx,WA,10+ years,0
15000,1/21/2008,princess65,572,42.88%,925xx,CA,8 years,0
20000,1/21/2008,debt_consolidation,718,32.72%,442xx,OH,10+ years,0
2500,1/21/2008,albertholee25,527,2.79%,010xx,MA,1 year,0
25000,1/21/2008,linksome,524,18.52%,770xx,TX,< 1 year,0
1500,1/21/2008,other,,100%,891xx,NV,6 years,0
750,1/22/2008,aj4l_112207,454,3.67%,992xx,WA,1 year,0
5000,1/22/2008,Adel,722,24%,327xx,FL,2 years,0
6500,1/22/2008,mommakass,532,14.08%,452xx,OH,10+ years,0
7000,1/22/2008,major_purchase,,100%,201xx,VA,4 years,0
25000,1/22/2008,courtney,640,19.12%,466xx,IN,9 years,0
5000,1/22/2008,quatre22,538,7.94%,302xx,GA,10+ years,0
2500,1/22/2008,robertvito,536,20.86%,920xx,CA,1 year,0
20000,1/22/2008,TONETTAM78,421,27.06%,900xx,CA,1 year,0
9000,1/22/2008,debt_consolidation,723,24.65%,189xx,PA,10+ years,0
15000,1/22/2008,Daveamo,555,17.95%,598xx,MT,10+ years,0
5000,1/22/2008,sndrandre,662,27.78%,300xx,GA,< 1 year,0
20000,1/22/2008,Consolidation,,100%,100xx,NY,10+ years,0
500,1/22/2008,Johnnie123,455,17.46%,361xx,AL,< 1 year,0
5000,1/22/2008,Jbeland77,601,0.35%,111xx,NY,< 1 year,0
1000,1/22/2008,dawnallmon,0,0%,325xx,FL,3 years,0
25000,1/22/2008,hobokenfood,590,22.56%,070xx,NJ,10+ years,0
25000,1/22/2008,pug100,571,10.65%,780xx,TX,< 1 year,0
12000,1/22/2008,other,,100%,923xx,CA,10+ years,0
8000,1/22/2008,grmama,544,3.57%,551xx,MN,3 years,0
5000,1/22/2008,Sue,546,4.76%,490xx,MI,3 years,0
8000,1/22/2008,Teacher refinancing credit card debt,744,19.48%,585xx,MN,9 years,0
12000,1/22/2008,cfoster,788,40.14%,394xx,MS,9 years,0
17000,1/22/2008,nesa3948,662,11.57%,283xx,NC,7 years,0
15000,1/22/2008,other,723,3.29%,236xx,VA,4 years,0
25000,1/22/2008,nerroc,578,0.96%,993xx,WA,7 years,0
19000,1/22/2008,debt_consolidation,740,32.24%,451xx,OH,10+ years,0
25000,1/22/2008,sabmoon,709,55.71%,984xx,WA,3 years,0
20000,1/22/2008,maphound,692,22.03%,986xx,WA,10+ years,0
15000,1/22/2008,major_purchase,718,0%,131xx,NY,6 years,0
21000,1/22/2008,DVD Business Opportunity,764,0%,328xx,FL,10+ years,0
16500,1/22/2008,cpa1040,633,22.22%,406xx,KY,10+ years,0
11732,1/22/2008,debt_consolidation,719,21.27%,606xx,IL,5 years,0
20000,1/22/2008,debt_consolidation,750,23.20%,852xx,AZ,5 years,0
16000,1/22/2008,debt_consolidation,690,31.42%,072xx,NJ,10+ years,0
25000,1/22/2008,jrashleg,658,11.84%,946xx,CA,2 years,0
5000,1/22/2008,lindak,502,7.81%,971xx,OR,9 years,0
8000,1/22/2008,debt_consolidation,,100%,894xx,NV,3 years,0
10000,1/22/2008,debt_consolidation,620,17.61%,701xx,LA,1 year,0
5000,1/22/2008,major_purchase,,100%,950xx,CA,3 years,0
5000,1/22/2008,pjb,532,6.87%,606xx,IL,2 years,0
22000,1/22/2008,"I WOULD LIKE TO CONSOLIDATE ALL MY DEBT,SO I CAN LOWER MY INTEREST, AND LOWER MY MONTHLY PAYMENTS. PAYING OFF THE DEBT WILL ALSO INCREASE MY FICO SCORES CONSIDERABLY. MY SCORES WERE OVER 700 LAST YEAR.I HAVE TWO CREDIT CARDS THAT HAVE BALANCES, AND THREE LOANS. I KNOW IF EVERY DEBT IS PAID OFF MY SCORES GO UP AND MY OBLIGATIONS ARE REDUCED. I HAVE ONE LOAN AT 25% interest, and others at 18% or more. my credit over the years is to good for these high rates.",665,21.91%,140xx,NY,9 years,0
5000,1/22/2008,magua,527,18.11%,112xx,NY,1 year,0
5000,1/22/2008,nwhight,489,0%,112xx,NY,1 year,0
5000,1/22/2008,lover1,480,4.29%,322xx,FL,9 years,0
3200,1/22/2008,SiouxZQ,469,42.86%,221xx,VA,10+ years,0
25000,1/22/2008,greeninvllc,717,23.92%,980xx,WA,10+ years,0
9000,1/22/2008,debt_consolidation,741,15.65%,941xx,CA,10+ years,0
900,1/22/2008,ahakuelog,548,21.84%,895xx,NV,< 1 year,0
9000,1/22/2008,debt_consolidation,731,49.75%,430xx,OH,4 years,0
17000,1/22/2008,debt_consolidation,686,34.01%,980xx,WA,4 years,0
13000,1/22/2008,debt_consolidation,757,20.42%,984xx,WA,10+ years,0
5000,1/22/2008,other,712,0%,812xx,CO,2 years,0
10000,1/22/2008,TeeLee,476,269.78%,956xx,CA,3 years,0
25000,1/22/2008,jvmcallister,596,28.94%,913xx,CA,< 1 year,0
10000,1/22/2008,other,721,0.83%,229xx,VA,6 years,0
500,1/22/2008,tat2stars,602,55.80%,837xx,ID,1 year,0
10000,1/22/2008,other,653,17%,921xx,CA,2 years,0
25000,1/22/2008,TCP200,627,18.08%,774xx,TX,5 years,0
18000,1/22/2008,was52193,623,18.13%,708xx,LA,5 years,0
10000,1/22/2008,Luckylinda,474,0.84%,890xx,NV,10+ years,0
3200,1/22/2008,IRS GOOF UP!,675,4.06%,788xx,TX,10+ years,0
500,1/22/2008,jasmine1,434,6%,723xx,AR,< 1 year,0
20000,1/22/2008,ibanka27,700,19.02%,334xx,FL,6 years,0
20000,1/22/2008,school loan,731,7.68%,570xx,SD,< 1 year,0
600,1/22/2008,tigertom93,472,0%,328xx,FL,1 year,0
5000,1/22/2008,debt_consolidation,722,92.54%,199xx,DE,6 years,0
9000,1/22/2008,debt_consolidation,677,40.62%,304xx,GA,1 year,0
500,1/22/2008,wvmee,535,0%,262xx,WV,< 1 year,0
2500,1/23/2008,Misc,656,20.70%,347xx,FL,10+ years,0
5000,1/23/2008,allmighty,561,8.95%,983xx,WA,< 1 year,0
20000,1/23/2008,lilyblazer,634,31.61%,145xx,NY,9 years,0
1500,1/23/2008,MuddDogg2000,492,1.61%,320xx,FL,< 1 year,0
10000,1/23/2008,jrdsrd,407,0%,246xx,VA,1 year,0
12000,1/23/2008,debt_consolidation,730,24.49%,537xx,WI,3 years,0
5000,1/23/2008,algenalbritten,567,37.51%,322xx,FL,3 years,0
4500,1/23/2008,happytobeme,439,22.05%,302xx,GA,7 years,0
2000,1/23/2008,alikatz1,543,5.23%,333xx,FL,10+ years,0
18000,1/23/2008,Gordon Steuart,745,6.48%,852xx,AZ,6 years,0
4500,1/23/2008,debt_consolidation,738,0.43%,222xx,VA,< 1 year,0
4800,1/23/2008,eme1955,553,22.22%,494xx,MI,< 1 year,0
25000,1/23/2008,adesai18,542,33.27%,207xx,MD,1 year,0
3000,1/23/2008,other,692,0%,121xx,NY,2 years,0
16000,1/23/2008,nicbarnes,472,28.29%,410xx,KY,< 1 year,0
10000,1/23/2008,pat420rick,531,0%,319xx,GA,9 years,0
4000,1/23/2008,lindsayshriver,611,25.23%,223xx,VA,< 1 year,0
12000,1/23/2008,robb,657,8.86%,109xx,NY,2 years,0
9400,1/23/2008,other,699,11.31%,029xx,RI,< 1 year,0
25000,1/23/2008,denno109,522,8.59%,480xx,MI,2 years,0
2000,1/23/2008,executiveenterprises,608,12.64%,317xx,GA,3 years,0
15000,1/23/2008,VitaPlena1,630,3.23%,981xx,WA,2 years,0
16000,1/23/2008,debt_consolidation,654,9.43%,930xx,CA,10+ years,0
12000,1/23/2008,other,655,6.26%,100xx,NY,4 years,0
10000,1/23/2008,debt_consolidation,,100%,923xx,CA,10+ years,0
20900,1/23/2008,cnn61408,599,16.93%,137xx,NY,1 year,0
2500,1/23/2008,desertdeb,526,67.93%,864xx,AZ,1 year,0
15000,1/23/2008,debt_consolidation,672,19.22%,600xx,IL,10+ years,0
9000,1/23/2008,kcline40,601,12.54%,571xx,SD,2 years,0
20900,1/23/2008,cnn614,665,36.46%,137xx,NY,1 year,0
23000,1/23/2008,dmlo81,576,79.60%,970xx,OR,8 years,0
5000,1/23/2008,bwb,627,21.26%,026xx,MA,< 1 year,0
15000,1/23/2008,debt_consolidation,720,8.11%,606xx,IL,2 years,0
10000,1/23/2008,Recording Workshop in Ohio,749,6.52%,863xx,AZ,4 years,0
1000,1/23/2008,jvcan,521,0%,773xx,TX,< 1 year,0
3000,1/23/2008,sizzlen,644,28.57%,871xx,NM,< 1 year,0
25000,1/23/2008,GCL1,457,0%,981xx,WA,3 years,0
8000,1/23/2008,other,,100%,080xx,NJ,10+ years,0
10000,1/23/2008,evrksdaczba,625,37.20%,953xx,CA,< 1 year,0
20000,1/23/2008,major_purchase,802,24.38%,799xx,TX,10+ years,0
4000,1/23/2008,home_improvement,660,36.30%,324xx,FL,2 years,0
20000,1/23/2008,other,680,1.80%,917xx,CA,4 years,0
2000,1/23/2008,countrymama2008,418,0%,488xx,MI,4 years,0
25000,1/23/2008,regitrepap,526,27.84%,760xx,TX,7 years,0
2000,1/23/2008,taj,499,7.31%,173xx,PA,< 1 year,0
15000,1/23/2008,debt_consolidation,713,19.97%,921xx,CA,6 years,0
7000,1/23/2008,alwaysforward2,486,10.60%,573xx,SD,9 years,0
25000,1/23/2008,computer,592,4.99%,294xx,SC,< 1 year,0
5000,1/23/2008,DC3003,513,29.84%,209xx,MD,7 years,0
3000,1/23/2008,dutchman,580,18.49%,597xx,MT,10+ years,0
8000,1/23/2008,TiffanyCaye,476,0%,775xx,TX,< 1 year,0
18400,1/23/2008,Credit Card Consolidation,717,14.65%,900xx,CA,2 years,0
22000,1/23/2008,debt_consolidation,736,0.02%,950xx,CA,10+ years,0
20000,1/23/2008,josephlloydzacker,0,0%,184xx,PA,< 1 year,0
2500,1/23/2008,alibor,0,1%,945xx,CA,< 1 year,0
10000,1/23/2008,Richyd,641,6.89%,875xx,NM,6 years,0
25000,1/23/2008,hopeful,630,36.14%,196xx,PA,2 years,0
8000,1/23/2008,debt_consolidation,659,55.77%,176xx,PA,< 1 year,0
9000,1/23/2008,bkedersha,515,8.06%,223xx,VA,< 1 year,0
8500,1/23/2008,hapaki,496,36.44%,967xx,HI,5 years,0
16000,1/23/2008,islandguy,686,21.37%,850xx,AZ,1 year,0
21000,1/23/2008,debt_consolidation,703,32.34%,453xx,OH,6 years,0
19800,1/23/2008,onetiger59,604,42.72%,852xx,AZ,3 years,0
24000,1/23/2008,major_purchase,614,3.78%,182xx,PA,2 years,0
3500,1/23/2008,ncmark,629,1.20%,279xx,NC,1 year,0
7500,1/23/2008,Debt Consolidation,,100%,926xx,CA,2 years,0
15000,1/23/2008,debt_consolidation,676,24.36%,553xx,MN,3 years,0
22000,1/23/2008,home_improvement,656,6.96%,799xx,TX,10+ years,0
5000,1/23/2008,The Gift of a Special Wedding,766,6.36%,446xx,OH,10+ years,0
15000,1/23/2008,other,730,11.61%,067xx,CT,< 1 year,0
1000,1/23/2008,SLOMOTION,466,2.13%,274xx,NC,1 year,0
8500,1/23/2008,BigDLK,529,8.36%,310xx,GA,10+ years,0
10000,1/23/2008,crisrdz,567,56.93%,780xx,TX,1 year,0
8575,1/23/2008,Financing Freedom,643,21.18%,190xx,PA,3 years,0
15000,1/24/2008,chadeusmaximus,537,40.30%,980xx,HI,< 1 year,0
10000,1/24/2008,major_purchase,720,27.56%,302xx,GA,2 years,0
14750,1/24/2008,GarWest,652,18.79%,719xx,AR,1 year,0
20000,1/24/2008,debt_consolidation,658,21.68%,075xx,NJ,10+ years,0
15000,1/24/2008,debt_consolidation,727,21.68%,139xx,NY,10+ years,0
2500,1/24/2008,other,646,9.97%,128xx,NY,8 years,0
14000,1/24/2008,debt_consolidation,,100%,928xx,CA,2 years,0
10000,1/24/2008,bootz,646,19.52%,681xx,NE,< 1 year,0
5000,1/24/2008,eobkid,500,15.83%,801xx,CO,2 years,0
6000,1/24/2008,pelpie,585,0%,088xx,NJ,1 year,0
10000,1/24/2008,Wedding,693,13.29%,014xx,MA,1 year,0
20000,1/24/2008,coll829,594,12.90%,800xx,CO,1 year,0
7000,1/24/2008,debt_consolidation,687,36.81%,064xx,CT,< 1 year,0
25000,1/24/2008,insynque,610,0%,104xx,NY,10+ years,0
20000,1/24/2008,debt_consolidation,714,40.13%,422xx,KY,2 years,0
20000,1/24/2008,debt_consolidation,,100%,920xx,CA,3 years,0
1500,1/24/2008,ce-club,493,0%,452xx,OH,1 year,0
8500,1/24/2008,We want to pay off our taxes and exisiting credit cards with high interest,548,267.95%,770xx,TX,1 year,0
5000,1/24/2008,personal things to be paid,,100%,331xx,FL,5 years,0
7000,1/24/2008,slyferrer,690,47.21%,934xx,CA,3 years,0
10000,1/24/2008,rdbutler624,695,29.62%,571xx,SD,< 1 year,0
10000,1/24/2008,bfinin,590,77.72%,614xx,IL,10+ years,0
20000,1/24/2008,gtbonus,610,16.87%,312xx,GA,< 1 year,0
8000,1/24/2008,BMUSLEH,493,14.12%,146xx,NY,< 1 year,0
10000,1/24/2008,mvalentino,497,6.52%,191xx,PA,1 year,0
8000,1/24/2008,Pay off High Interest Credit Cards,698,16.40%,989xx,WA,1 year,0
10000,1/24/2008,pensoc,540,14.22%,352xx,AL,10+ years,0
3000,1/24/2008,bolhim,661,3.87%,951xx,CA,1 year,0
15000,1/24/2008,luckiesanddice,589,19.87%,019xx,MA,< 1 year,0
8000,1/24/2008,jct327,557,19.50%,781xx,TX,2 years,0
8000,1/24/2008,KITCAR,621,4.59%,440xx,OH,10+ years,0
25000,1/24/2008,Truseq1,566,39.31%,122xx,NY,10+ years,0
25000,1/24/2008,john380sl,630,34.91%,347xx,FL,10+ years,0
5000,1/24/2008,chain2smitty,434,7.73%,352xx,AL,2 years,0
5000,1/24/2008,donnakawa,493,8.98%,437xx,OH,5 years,0
12000,1/24/2008,debt_consolidation,731,20.44%,846xx,UT,10+ years,0
1500,1/24/2008,other,,100%,087xx,NJ,6 years,0
3000,1/24/2008,other,,100%,330xx,FL,2 years,0
20000,1/24/2008,ballkann,621,0.93%,760xx,TX,1 year,0
20000,1/24/2008,Ebpacenyc,544,27.31%,070xx,NJ,4 years,0
25000,1/24/2008,Ron-L,751,30.81%,494xx,MI,< 1 year,0
500,1/24/2008,clutz123,762,1.09%,972xx,OR,3 years,0
500,1/24/2008,majestictravel,460,30.90%,344xx,FL,2 years,0
5500,1/24/2008,Julieann1331,654,39.14%,139xx,NY,1 year,0
3500,1/24/2008,CC Consolidation,667,23.62%,802xx,CO,3 years,0
10000,1/24/2008,DrNumbers,600,40.43%,700xx,LA,< 1 year,0
